Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,140.00,210.00,147.00,147.00,147.00,147.00,0,17,0,2,2,9513.41,52.80,57.40,67.02,23.33,23.33,23.33,22900.00
2,140.00,200.00,140.00,140.00,140.00,140.00,0,17,0,4,4,10470.52,45.75,49.63,59.84,20.00,20.00,20.00,39400.00
3,290.00,370.00,259.00,259.00,259.00,259.00,1,26,0,4,4,18793.63,44.34,48.74,58.93,26.67,26.67,26.67,72900.00
4,290.00,360.00,252.00,252.00,252.00,252.00,1,27,0,4,4,18688.38,32.34,35.76,43.02,23.33,23.33,23.33,47400.00
5,290.00,360.00,252.00,252.00,252.00,252.00,1,27,0,1,1,26000.76,27.63,30.58,35.95,23.33,23.33,23.33,97500.00
6,290.00,370.00,259.00,259.00,259.00,259.00,1,27,0,1,1,24340.88,34.63,39.16,43.20,26.67,26.67,26.67,30300.00
7,290.00,370.00,259.00,259.00,259.00,259.00,1,26,0,2,2,20569.43,58.55,66.29,74.42,26.67,26.67,26.67,62200.00
8,290.00,370.00,259.00,259.00,259.00,259.00,1,28,0,1,1,21117.06,30.80,34.54,40.74,26.67,26.67,26.67,94200.00
9,290.00,370.00,259.00,259.00,259.00,259.00,0,28,0,1,1,22530.17,38.92,41.32,50.58,26.67,26.67,26.67,44600.00
10,290.00,370.00,259.00,259.00,259.00,259.00,1,28,0,4,4,23914.66,41.52,44.06,50.89,26.67,26.67,26.67,88600.00
11,290.00,370.00,259.00,259.00,259.00,259.00,0,29,0,4,4,23220.85,49.43,54.74,63.68,26.67,26.67,26.67,76400.00
12,290.00,370.00,259.00,259.00,259.00,259.00,1,29,0,2,2,16540.96,29.05,32.21,37.05,26.67,26.67,26.67,22100.00
13,290.00,370.00,259.00,259.00,259.00,259.00,1,29,0,1,1,21097.48,38.56,42.03,42.88,26.67,26.67,26.67,40800.00
14,130.00,215.00,150.50,150.50,150.50,150.50,1,42,0,2,2,9397.59,59.56,66.16,70.94,28.33,28.33,28.33,37700.00
15,135.00,205.00,143.50,143.50,143.50,143.50,0,42,0,2,2,11276.44,37.09,40.53,48.84,23.33,23.33,23.33,35900.00
16,110.00,225.00,157.50,157.50,157.50,157.50,1,42,0,4,4,8675.07,41.05,42.87,50.49,38.33,38.33,38.33,31600.00
17,120.00,225.00,157.50,157.50,157.50,157.50,1,43,0,2,2,5998.04,41.40,45.61,49.51,35.00,35.00,35.00,8100.00
18,130.00,225.00,157.50,157.50,157.50,157.50,1,43,0,4,4,8616.60,37.16,41.33,48.33,31.67,31.67,31.67,16100.00
19,135.00,205.00,143.50,143.50,143.50,143.50,0,43,0,1,1,11703.18,32.92,37.75,40.17,23.33,23.33,23.33,34400.00
20,255.00,535.00,374.50,374.50,374.50,374.50,1,44,0,2,2,16731.65,64.63,74.44,81.82,93.33,93.33,93.33,55900.00
21,250.00,560.00,392.00,392.00,392.00,392.00,0,44,0,2,2,16150.65,42.17,46.13,53.17,103.33,103.33,103.33,46000.00
22,129.00,225.00,157.50,157.50,157.50,157.50,1,54,0,2,2,9645.31,39.89,44.64,52.46,32.00,32.00,32.00,32100.00
23,129.00,225.00,157.50,157.50,157.50,157.50,1,55,0,4,4,13221.14,39.94,44.06,49.47,32.00,32.00,32.00,48700.00
24,129.00,225.00,157.50,157.50,157.50,157.50,0,54,0,2,2,7712.62,44.90,50.09,56.33,32.00,32.00,32.00,31500.00
25,129.00,225.00,157.50,157.50,157.50,157.50,1,56,0,1,1,8285.56,37.23,39.96,47.41,32.00,32.00,32.00,21900.00
26,129.00,225.00,157.50,157.50,157.50,157.50,1,57,0,4,4,9190.12,32.93,34.99,41.00,32.00,32.00,32.00,20200.00
27,129.00,225.00,157.50,157.50,157.50,157.50,0,57,0,2,2,9420.37,34.40,38.31,41.88,32.00,32.00,32.00,33100.00
28,129.00,225.00,157.50,157.50,157.50,157.50,1,57,0,2,2,9705.67,67.36,74.77,91.31,32.00,32.00,32.00,24900.00
29,48.10,48.10,33.67,33.67,33.67,33.67,1,58,0,4,4,3367.45,49.27,51.80,60.26,0.00,0.00,0.00,5900.00
30,140.00,225.00,157.50,157.50,157.50,157.50,1,77,0,1,1,11681.33,55.14,61.35,67.93,28.33,28.33,28.33,42500.00
31,140.00,225.00,157.50,157.50,157.50,157.50,1,77,0,2,2,8801.04,45.39,48.90,54.89,28.33,28.33,28.33,29900.00
32,140.00,220.00,154.00,154.00,154.00,154.00,0,78,0,2,2,8636.39,52.74,57.72,64.59,26.67,26.67,26.67,8100.00
33,140.00,225.00,157.50,157.50,157.50,157.50,1,78,0,2,2,6481.68,46.68,51.82,62.28,28.33,28.33,28.33,26200.00
34,140.00,225.00,157.50,157.50,157.50,157.50,1,78,0,2,2,7194.93,30.31,32.88,36.31,28.33,28.33,28.33,23100.00
35,220.00,380.00,266.00,266.00,266.00,266.00,1,81,0,2,2,13506.33,56.76,61.92,72.85,53.33,53.33,53.33,44100.00
36,220.00,370.00,259.00,259.00,259.00,259.00,0,81,0,1,1,16632.32,31.82,35.45,40.75,50.00,50.00,50.00,28500.00
37,9.00,9.00,6.30,6.30,6.30,6.30,1,97,0,4,4,516.07,40.50,43.48,47.55,0.00,0.00,0.00,2000.00
38,6.00,6.00,4.20,4.20,4.20,4.20,1,97,0,1,1,427.19,59.51,67.53,79.58,0.00,0.00,0.00,1900.00
39,134.00,225.00,157.50,157.50,157.50,157.50,1,103,0,4,4,7954.89,72.60,76.66,84.85,30.33,30.33,30.33,19900.00
40,134.00,225.00,157.50,157.50,157.50,157.50,0,104,0,4,4,9826.06,49.63,53.46,57.85,30.33,30.33,30.33,40500.00
41,79.00,120.00,84.00,84.00,84.00,84.00,1,105,0,2,2,3666.06,52.01,58.07,66.61,13.67,13.67,13.67,3900.00
42,79.00,120.00,84.00,84.00,84.00,84.00,0,106,0,2,2,5372.36,21.48,22.78,26.07,13.67,13.67,13.67,8800.00
43,90.00,120.00,84.00,84.00,84.00,84.00,0,115,0,2,2,4912.20,64.07,71.21,87.77,10.00,10.00,10.00,19000.00
44,70.00,120.00,84.00,84.00,84.00,84.00,1,116,0,4,4,4220.48,48.41,53.03,57.40,16.67,16.67,16.67,12400.00
45,80.00,110.00,77.00,77.00,77.00,77.00,1,117,0,1,1,4554.38,32.51,35.20,39.52,10.00,10.00,10.00,18300.00
46,160.00,215.00,150.50,150.50,150.50,150.50,1,124,0,2,2,11658.16,10.10,11.14,13.36,18.33,18.33,18.33,42500.00
47,140.00,225.00,157.50,157.50,157.50,157.50,1,125,0,1,1,10329.18,27.05,29.54,37.22,28.33,28.33,28.33,33800.00
48,160.00,215.00,150.50,150.50,150.50,150.50,1,125,0,4,4,9993.78,23.10,25.66,30.06,18.33,18.33,18.33,28600.00
49,140.00,225.00,157.50,157.50,157.50,157.50,1,126,0,2,2,10263.80,66.28,73.86,86.01,28.33,28.33,28.33,37800.00
50,160.00,220.00,154.00,154.00,154.00,154.00,0,126,0,1,1,13359.59,35.75,39.83,47.02,20.00,20.00,20.00,37100.00
51,0.00,125.00,87.50,87.50,87.50,87.50,1,131,0,1,1,0.00,26.86,29.60,33.28,41.67,41.67,41.67,0.00
52,0.00,125.00,87.50,87.50,87.50,87.50,0,131,0,2,2,0.00,39.89,43.58,48.54,41.67,41.67,41.67,0.00
53,0.00,125.00,87.50,87.50,87.50,87.50,0,132,0,2,2,0.00,35.03,37.90,46.79,41.67,41.67,41.67,0.00
54,0.00,125.00,87.50,87.50,87.50,87.50,0,132,0,2,2,0.00,49.64,54.83,62.23,41.67,41.67,41.67,0.00
55,100.00,120.00,84.00,84.00,84.00,84.00,0,133,0,4,4,8327.19,32.94,35.81,44.00,6.67,6.67,6.67,34400.00
56,100.00,120.00,84.00,84.00,84.00,84.00,1,133,0,2,2,6080.74,56.86,63.11,74.03,6.67,6.67,6.67,24200.00
57,100.00,120.00,84.00,84.00,84.00,84.00,1,134,0,2,2,5450.89,30.72,33.09,36.94,6.67,6.67,6.67,32300.00
58,30.00,50.00,35.00,35.00,35.00,35.00,0,145,0,1,1,2106.66,35.95,39.47,43.14,6.67,6.67,6.67,8400.00
59,30.00,50.00,35.00,35.00,35.00,35.00,0,145,0,2,2,2327.51,38.63,40.62,44.22,6.67,6.67,6.67,7800.00
60,90.00,120.00,84.00,84.00,84.00,84.00,0,146,0,4,4,5705.53,35.78,40.62,44.36,10.00,10.00,10.00,14300.00
61,90.00,222.00,155.40,155.40,155.40,155.40,0,147,0,2,2,7076.32,19.58,22.28,25.26,44.00,44.00,44.00,19900.00
62,135.00,205.00,143.50,143.50,143.50,143.50,0,147,0,2,2,9436.46,36.81,40.98,49.36,23.33,23.33,23.33,6900.00
63,135.00,205.00,143.50,143.50,143.50,143.50,0,147,0,2,2,9517.51,44.41,48.55,53.63,23.33,23.33,23.33,29600.00
64,90.00,222.00,155.40,155.40,155.40,155.40,1,147,0,2,2,6903.19,29.75,33.37,37.60,44.00,44.00,44.00,31200.00
65,90.00,222.00,155.40,155.40,155.40,155.40,1,149,0,1,1,7067.67,45.61,50.27,56.52,44.00,44.00,44.00,15300.00
66,90.00,222.00,155.40,155.40,155.40,155.40,1,150,0,2,2,5439.72,39.38,41.47,51.05,44.00,44.00,44.00,13000.00
67,90.00,222.00,155.40,155.40,155.40,155.40,0,150,0,2,2,6278.86,54.41,58.54,64.93,44.00,44.00,44.00,28900.00
68,94.00,235.00,164.50,164.50,164.50,164.50,1,154,0,2,2,4414.02,48.66,53.62,62.32,47.00,47.00,47.00,17900.00
69,94.00,235.00,164.50,164.50,164.50,164.50,0,154,0,2,2,5966.68,35.58,39.25,42.56,47.00,47.00,47.00,17100.00
70,104.00,261.00,182.70,182.70,182.70,182.70,1,154,0,4,4,6012.97,45.08,49.05,57.36,52.33,52.33,52.33,21300.00
71,104.00,261.00,182.70,182.70,182.70,182.70,0,154,0,1,1,5894.09,28.78,31.20,38.36,52.33,52.33,52.33,16500.00
72,104.00,261.00,182.70,182.70,182.70,182.70,0,155,0,1,1,8397.61,34.84,38.97,46.51,52.33,52.33,52.33,30800.00
73,130.00,205.00,143.50,143.50,143.50,143.50,1,155,0,1,1,10040.73,47.18,51.16,59.69,25.00,25.00,25.00,28200.00
74,120.00,206.00,144.20,144.20,144.20,144.20,1,155,0,1,1,9228.00,20.70,23.25,27.49,28.67,28.67,28.67,10200.00
75,120.00,206.00,144.20,144.20,144.20,144.20,0,155,0,2,2,9601.85,65.28,73.03,83.32,28.67,28.67,28.67,24200.00
76,120.00,206.00,144.20,144.20,144.20,144.20,1,157,0,4,4,7796.30,47.31,51.97,61.07,28.67,28.67,28.67,18400.00
77,150.00,200.00,140.00,140.00,140.00,140.00,0,163,0,4,4,9566.59,47.44,54.91,66.90,16.67,16.67,16.67,27100.00
78,150.00,200.00,140.00,140.00,140.00,140.00,1,163,0,1,1,9118.25,21.99,24.50,29.27,16.67,16.67,16.67,17600.00
79,150.00,200.00,140.00,140.00,140.00,140.00,1,164,0,2,2,9410.68,44.00,50.04,59.17,16.67,16.67,16.67,23000.00
80,150.00,200.00,140.00,140.00,140.00,140.00,1,164,0,1,1,10834.34,36.23,41.00,45.99,16.67,16.67,16.67,44000.00
81,170.00,170.00,119.00,119.00,119.00,119.00,1,179,0,2,2,11987.24,22.19,23.99,26.89,0.00,0.00,0.00,48000.00
82,0.00,179.00,125.30,125.30,125.30,125.30,1,204,0,4,4,0.00,37.28,40.70,45.28,59.67,59.67,59.67,0.00
83,0.00,179.00,125.30,125.30,125.30,125.30,1,204,0,1,1,0.00,29.80,31.48,37.89,59.67,59.67,59.67,0.00
84,0.00,179.00,125.30,125.30,125.30,125.30,1,204,0,2,2,0.00,44.03,49.13,54.97,59.67,59.67,59.67,0.00
85,0.00,179.00,125.30,125.30,125.30,125.30,1,205,0,4,4,0.00,55.55,61.50,76.50,59.67,59.67,59.67,0.00
86,35.00,35.00,24.50,24.50,24.50,24.50,1,214,0,4,4,3088.71,47.56,50.72,61.52,0.00,0.00,0.00,5000.00
87,0.00,0.00,0.00,0.00,0.00,0.00,0,214,0,1,1,0.00,53.57,58.26,67.90,0.00,0.00,0.00,0.00
88,0.00,0.00,0.00,0.00,0.00,0.00,0,214,0,2,2,0.00,28.35,31.27,36.13,0.00,0.00,0.00,0.00
89,10.00,10.00,7.00,7.00,7.00,7.00,1,214,0,2,2,686.84,28.64,32.73,38.05,0.00,0.00,0.00,2900.00
90,1.55,1.55,1.08,1.08,1.08,1.08,1,220,0,4,4,122.64,25.25,27.16,29.34,0.00,0.00,0.00,0.00
91,1.55,1.55,1.08,1.08,1.08,1.08,1,221,0,1,1,111.42,46.18,50.08,55.92,0.00,0.00,0.00,0.00
92,7.00,7.00,4.90,4.90,4.90,4.90,1,239,0,4,4,641.86,44.42,48.05,53.90,0.00,0.00,0.00,2200.00
93,290.00,370.00,259.00,259.00,259.00,259.00,1,246,0,4,4,19966.71,26.73,30.22,34.18,26.67,26.67,26.67,54800.00
94,0.00,0.00,0.00,0.00,0.00,0.00,0,309,0,4,4,0.00,49.27,54.82,60.45,0.00,0.00,0.00,0.00
95,0.00,0.00,0.00,0.00,0.00,0.00,0,309,0,1,1,0.00,38.84,41.38,45.38,0.00,0.00,0.00,0.00
96,11.00,11.00,7.70,7.70,7.70,7.70,1,309,0,2,2,857.48,49.43,54.63,59.19,0.00,0.00,0.00,1200.00
97,0.00,0.00,0.00,0.00,0.00,0.00,0,309,0,1,1,0.00,36.51,40.71,44.81,0.00,0.00,0.00,0.00
98,0.00,0.00,0.00,0.00,0.00,0.00,0,309,0,4,4,0.00,45.30,50.45,57.06,0.00,0.00,0.00,0.00
99,0.00,0.00,0.00,0.00,0.00,0.00,0,309,0,1,1,0.00,34.91,38.61,45.88,0.00,0.00,0.00,0.00
100,0.00,0.00,0.00,0.00,0.00,0.00,0,309,0,2,2,0.00,42.31,46.66,53.80,0.00,0.00,0.00,0.00
101,15.00,15.00,10.50,10.50,10.50,10.50,1,310,0,2,2,815.15,39.34,42.04,49.65,0.00,0.00,0.00,2600.00
102,0.00,0.00,0.00,0.00,0.00,0.00,0,310,0,2,2,0.00,37.51,38.50,43.34,0.00,0.00,0.00,0.00
103,15.00,15.00,10.50,10.50,10.50,10.50,1,311,0,4,4,1045.10,34.13,38.08,43.26,0.00,0.00,0.00,1000.00
104,0.00,0.00,0.00,0.00,0.00,0.00,0,311,0,2,2,0.00,29.78,32.85,38.45,0.00,0.00,0.00,0.00
105,30.00,30.00,21.00,21.00,21.00,21.00,1,313,0,2,2,1955.23,50.61,57.31,68.84,0.00,0.00,0.00,7300.00
106,0.00,0.00,0.00,0.00,0.00,0.00,0,313,0,4,4,0.00,49.55,52.42,60.95,0.00,0.00,0.00,0.00
107,0.00,0.00,0.00,0.00,0.00,0.00,0,314,0,2,2,0.00,34.88,39.32,45.39,0.00,0.00,0.00,0.00
108,2.50,2.50,1.75,1.75,1.75,1.75,1,322,0,1,1,199.52,26.12,30.08,34.70,0.00,0.00,0.00,0.00
109,43.25,43.25,30.28,30.28,30.28,30.28,1,365,0,1,1,2772.55,47.68,52.16,58.49,0.00,0.00,0.00,8300.00
110,43.25,43.25,30.28,30.28,30.28,30.28,1,366,0,1,1,3711.59,28.36,30.52,36.97,0.00,0.00,0.00,14200.00
111,43.25,43.25,30.28,30.28,30.28,30.28,1,367,0,2,2,2798.82,55.27,61.73,68.02,0.00,0.00,0.00,9300.00
112,43.25,43.25,30.28,30.28,30.28,30.28,1,368,0,1,1,3225.15,42.88,46.47,56.99,0.00,0.00,0.00,14000.00
113,140.00,210.00,147.00,147.00,147.00,147.00,1,385,0,4,4,11101.96,47.15,51.10,60.88,23.33,23.33,23.33,26300.00
114,12.00,25.00,17.50,17.50,17.50,17.50,0,385,0,1,1,651.69,36.54,40.68,48.64,4.33,4.33,4.33,2300.00
115,10.00,17.00,11.90,11.90,11.90,11.90,1,386,0,2,2,597.75,44.71,49.58,56.70,2.33,2.33,2.33,2000.00
116,1.50,1.50,1.05,1.05,1.05,1.05,1,443,0,4,4,98.96,28.78,31.79,37.57,0.00,0.00,0.00,0.00
117,5.21,5.21,3.65,3.65,3.65,3.65,1,452,0,2,2,376.19,24.56,27.55,29.57,0.00,0.00,0.00,1100.00
