Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,140.00,210.00,147.00,147.00,147.00,147.00,0,17,0,1,1,9513.41,51.62,57.35,64.64,23.33,23.33,23.33,37800.00
2,140.00,200.00,140.00,140.00,140.00,140.00,0,17,0,4,4,10470.52,46.06,51.75,60.92,20.00,20.00,20.00,28700.00
3,290.00,370.00,259.00,259.00,259.00,259.00,1,26,0,2,2,18793.63,42.65,47.48,51.78,26.67,26.67,26.67,60700.00
4,290.00,360.00,252.00,252.00,252.00,252.00,1,27,0,1,1,18688.38,43.52,48.26,54.50,23.33,23.33,23.33,61400.00
5,290.00,360.00,252.00,252.00,252.00,252.00,0,27,0,1,1,26000.76,44.82,49.29,59.58,23.33,23.33,23.33,94500.00
6,290.00,370.00,259.00,259.00,259.00,259.00,0,27,0,4,4,24340.88,39.16,44.46,50.43,26.67,26.67,26.67,89900.00
7,290.00,370.00,259.00,259.00,259.00,259.00,1,26,0,4,4,20569.43,35.02,39.02,47.95,26.67,26.67,26.67,51900.00
8,290.00,370.00,259.00,259.00,259.00,259.00,1,28,0,2,2,21117.06,32.79,36.44,42.59,26.67,26.67,26.67,26100.00
9,290.00,370.00,259.00,259.00,259.00,259.00,0,28,0,2,2,22530.17,38.35,42.37,45.40,26.67,26.67,26.67,56100.00
10,290.00,370.00,259.00,259.00,259.00,259.00,0,28,0,4,4,23914.66,35.97,38.98,43.07,26.67,26.67,26.67,67600.00
11,290.00,370.00,259.00,259.00,259.00,259.00,0,29,0,2,2,23220.85,32.88,35.70,42.22,26.67,26.67,26.67,98900.00
12,290.00,370.00,259.00,259.00,259.00,259.00,1,29,0,2,2,16540.96,41.25,48.65,58.07,26.67,26.67,26.67,53700.00
13,290.00,370.00,259.00,259.00,259.00,259.00,1,29,0,1,1,21097.48,38.86,43.68,50.82,26.67,26.67,26.67,61700.00
14,130.00,215.00,150.50,150.50,150.50,150.50,1,42,0,1,1,9397.59,26.47,28.47,34.09,28.33,28.33,28.33,18700.00
15,135.00,205.00,143.50,143.50,143.50,143.50,0,42,0,2,2,11276.44,31.69,33.97,39.32,23.33,23.33,23.33,38000.00
16,110.00,225.00,157.50,157.50,157.50,157.50,0,42,0,1,1,8675.07,43.65,46.81,49.68,38.33,38.33,38.33,13900.00
17,120.00,225.00,157.50,157.50,157.50,157.50,0,43,0,2,2,5998.04,34.55,37.23,43.92,35.00,35.00,35.00,11000.00
18,130.00,225.00,157.50,157.50,157.50,157.50,1,43,0,4,4,8616.60,49.78,53.06,61.26,31.67,31.67,31.67,32700.00
19,135.00,205.00,143.50,143.50,143.50,143.50,0,43,0,1,1,11703.18,37.44,41.61,49.21,23.33,23.33,23.33,44500.00
20,255.00,535.00,374.50,374.50,374.50,374.50,1,44,0,1,1,16731.65,45.11,47.83,54.81,93.33,93.33,93.33,88300.00
