Line,Source,Target,Reactance,Flow Limit (MW),Vulnerable?,Zone
1,7,8,0.03050000,400,1,2
2,26,28,0.02519000,500,1,2
3,27,29,0.02519000,500,1,2
4,39,41,0.02097000,500,1,1
5,42,45,0.02097000,500,1,1
6,54,56,0.03000000,400,1,1
7,63,65,0.01071000,1250,1,1
8,64,65,0.01071000,1250,1,1
9,90,92,0.02444000,330,1,2
10,91,93,0.02469000,330,1,2
11,125,128,0.02875000,400,1,1
12,149,150,0.03050000,400,1,2
13,155,157,0.02300000,500,1,2
14,156,158,0.02300000,500,1,2
15,169,171,0.02375000,500,1,2
16,183,184,0.03091900,400,1,2
17,190,192,0.03000000,500,1,2
18,2727,157,0.00338000,1386,1,2
19,2727,158,0.00338000,1386,1,2
20,2728,68,0.08353100,385,0,1
21,2726,76,0.07065900,412,1,1
22,2726,105,0.07087000,412,1,1
23,127,2725,0.01683700,1386,0,2
24,2729,148,0.01590900,316,1,2
25,2729,149,0.01590900,316,1,2
26,2730,47,0.02287000,831,1,1
27,2730,48,0.02287000,831,1,1
28,82,2724,0.03116200,1386,0,2
29,42,23,0.08114100,339,1,1
30,26,90,0.06240100,453,1,2
31,27,91,0.06405000,427,1,2
32,146,30,0.12365900,316,1,2
33,135,33,0.02618000,301,1,2
34,134,20,0.06196100,385,1,2
35,164,21,0.10589100,316,1,2
36,40,109,0.08161000,314,1,1
37,39,91,0.07231000,324,1,1
38,178,83,0.05948400,316,1,2
39,203,165,0.06828900,324,1,2
40,194,165,0.08909100,358,1,2
41,193,164,0.08702500,383,1,2
42,207,167,0.09716900,269,1,2
43,42,10,0.07497900,351,1,1
44,198,18,0.10413000,316,1,2
45,100,54,0.04380000,457,1,1
46,162,82,0.02056000,1178,1,2
47,44,9,0.01506000,1386,1,1
48,185,150,0.03463000,693,1,2
49,121,56,0.01994000,831,1,1
50,29,93,0.01625000,1386,1,2
51,28,123,0.02769000,1386,1,2
52,25,192,0.02474000,1386,1,2
53,120,63,0.01788000,831,1,1
54,122,63,0.05544000,831,1,1
55,82,31,0.03425000,977,1,2
56,92,28,0.02369000,1178,1,2
57,12,4,0.09711000,427,1,2
58,30,11,0.04070000,316,1,2
59,24,4,0.03222900,383,1,2
60,17,7,0.11219000,383,1,2
61,21,10,0.08741900,316,1,2
62,26,5,0.05051600,377,1,2
63,17,3,0.07895000,274,1,2
64,26,19,0.03952100,440,1,2
65,27,20,0.03952100,440,1,2
66,13,6,0.03988000,316,1,2
67,13,12,0.00020700,316,1,2
68,32,13,0.00651000,316,1,2
69,23,11,0.01326000,385,1,2
70,33,5,0.04300000,301,1,2
71,19,4,0.01599000,324,1,2
72,26,1,0.01169000,633,1,2
73,27,2,0.01169000,633,1,2
74,27,24,0.02853100,392,1,2
75,25,9,0.03418000,831,1,2
76,28,25,0.04262000,1386,1,2
77,14,29,0.03977000,1316,1,2
78,8,15,0.03675000,1150,1,2
79,8,14,0.01329000,1150,1,2
80,31,29,0.00900000,1150,1,2
81,62,58,0.06096900,269,1,1
82,60,55,0.06564100,274,1,1
83,67,34,0.06558100,274,1,1
84,50,34,0.07031000,341,1,1
85,58,42,0.04021100,404,1,1
86,59,43,0.04021100,404,1,1
87,59,34,0.04868000,379,1,1
88,68,51,0.02076000,385,1,1
89,51,38,0.05196100,316,1,1
90,36,55,0.02783100,274,1,1
91,37,35,0.05727100,316,1,1
92,54,37,0.04145000,383,1,1
93,67,36,0.03368000,392,1,1
94,67,66,0.00878100,341,1,1
95,61,42,0.04283100,404,1,1
96,62,43,0.04540900,314,1,1
97,61,39,0.06215100,314,1,1
98,60,40,0.01797900,316,1,1
99,46,39,0.01494000,341,1,1
100,49,45,0.01890000,1150,1,1
101,57,53,0.01277000,1150,1,1
102,41,57,0.02643900,1150,1,1
103,63,57,0.01097000,1393,1,1
104,47,64,0.01406000,1386,1,1
105,52,44,0.02144000,1150,1,1
106,96,125,0.03361600,404,1,1
107,75,106,0.05919400,246,1,1
108,106,94,0.01392600,404,1,1
109,79,85,0.02975200,316,1,1
110,131,130,0.00495900,379,1,1
111,107,131,0.04039300,379,1,1
112,91,131,0.00524800,301,1,1
113,100,119,0.08760300,314,1,1
114,81,113,0.01458700,269,1,1
115,116,101,0.11677700,246,1,1
116,126,74,0.04093000,404,1,1
117,108,90,0.02847100,383,1,1
118,118,79,0.04241700,356,1,1
119,119,78,0.04241700,356,1,1
120,79,76,0.03838800,453,1,1
121,78,73,0.01402900,301,1,1
122,114,78,0.02774800,324,1,1
123,103,72,0.07074400,246,1,1
124,110,117,0.04146700,383,1,1
125,91,69,0.01278900,269,1,2
126,86,90,0.00973100,453,1,1
127,129,87,0.00411200,404,1,1
128,132,76,0.00624000,457,0,1
129,133,77,0.00626000,457,0,1
130,102,77,0.01111600,453,1,1
131,125,104,0.02159100,404,1,1
132,126,111,0.03157000,316,1,1
133,104,84,0.00991700,316,1,1
134,105,95,0.02667400,316,1,1
135,112,80,0.04128100,269,1,1
136,89,78,0.03041300,246,1,1
137,117,108,0.03506200,246,1,1
138,109,99,0.02340900,316,1,1
139,116,79,0.01260300,316,1,1
140,107,88,0.00960700,301,1,1
141,98,79,0.02442100,246,1,1
142,117,78,0.01260300,316,1,1
143,83,97,0.04148800,404,1,1
144,124,118,0.02462800,314,1,1
145,124,110,0.01332700,246,1,1
146,100,71,0.00487600,269,0,1
