Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,140.00,200.00,140.00,140.00,140.00,140.00,1,17,0,2,2,9513.41,40.33,42.96,48.67,20.00,20.00,20.00,32700.00
2,140.00,200.00,140.00,140.00,140.00,140.00,1,18,0,2,2,10470.52,37.74,41.71,47.95,20.00,20.00,20.00,39100.00
3,290.00,370.00,259.00,259.00,259.00,259.00,0,26,0,1,1,18793.63,41.06,45.79,52.78,26.67,26.67,26.67,24000.00
4,290.00,360.00,252.00,252.00,252.00,252.00,1,26,0,1,1,18688.38,43.03,47.92,55.01,23.33,23.33,23.33,61300.00
5,290.00,360.00,252.00,252.00,252.00,252.00,1,27,0,4,4,26000.76,38.04,42.07,44.82,23.33,23.33,23.33,75800.00
6,290.00,370.00,259.00,259.00,259.00,259.00,1,27,0,1,1,24340.88,47.65,52.55,59.48,26.67,26.67,26.67,53800.00
7,290.00,370.00,259.00,259.00,259.00,259.00,1,27,0,1,1,20569.43,35.50,37.94,45.77,26.67,26.67,26.67,51000.00
8,290.00,370.00,259.00,259.00,259.00,259.00,0,28,0,2,2,21117.06,50.38,51.70,65.10,26.67,26.67,26.67,66700.00
9,290.00,370.00,259.00,259.00,259.00,259.00,1,28,0,2,2,22530.17,55.73,62.19,67.83,26.67,26.67,26.67,54000.00
10,290.00,370.00,259.00,259.00,259.00,259.00,1,28,0,2,2,23914.66,52.83,58.28,68.00,26.67,26.67,26.67,72700.00
11,290.00,370.00,259.00,259.00,259.00,259.00,1,29,0,4,4,23220.85,42.81,48.48,53.26,26.67,26.67,26.67,61000.00
12,290.00,370.00,259.00,259.00,259.00,259.00,1,29,0,1,1,16540.96,31.08,32.88,37.53,26.67,26.67,26.67,21800.00
13,290.00,370.00,259.00,259.00,259.00,259.00,1,29,0,4,4,21097.48,45.18,50.93,56.03,26.67,26.67,26.67,69300.00
14,135.00,215.00,150.50,150.50,150.50,150.50,1,43,0,1,1,9759.03,39.92,45.97,49.35,26.67,26.67,26.67,23200.00
15,135.00,247.80,173.46,173.46,173.46,173.46,0,43,0,4,4,11276.44,23.61,25.83,28.31,37.60,37.60,37.60,17500.00
16,135.00,247.80,173.46,173.46,173.46,173.46,0,43,0,1,1,10646.68,54.01,58.13,63.66,37.60,37.60,37.60,36600.00
17,135.00,225.00,157.50,157.50,157.50,157.50,1,44,0,2,2,6747.79,57.59,64.32,75.27,30.00,30.00,30.00,7200.00
18,135.00,225.00,157.50,157.50,157.50,157.50,1,44,0,1,1,8948.01,46.29,50.16,57.11,30.00,30.00,30.00,13000.00
19,135.00,225.00,157.50,157.50,157.50,157.50,0,44,0,4,4,11703.18,35.76,38.75,41.77,30.00,30.00,30.00,28600.00
20,350.00,500.00,350.00,350.00,350.00,350.00,0,45,0,2,2,22965.01,47.90,53.32,57.53,50.00,50.00,50.00,96900.00
21,350.00,500.00,350.00,350.00,350.00,350.00,1,45,0,2,2,22610.90,49.38,54.76,59.90,50.00,50.00,50.00,36700.00
22,130.00,225.00,157.50,157.50,157.50,157.50,1,55,0,2,2,9720.08,17.47,19.30,22.40,31.67,31.67,31.67,24500.00
23,130.00,225.00,157.50,157.50,157.50,157.50,1,56,0,2,2,13323.63,22.27,24.98,28.15,31.67,31.67,31.67,26800.00
24,130.00,225.00,157.50,157.50,157.50,157.50,0,56,0,1,1,7772.40,31.04,34.10,39.78,31.67,31.67,31.67,31100.00
25,130.00,225.00,157.50,157.50,157.50,157.50,1,57,0,2,2,8349.79,46.77,50.61,57.56,31.67,31.67,31.67,13900.00
26,130.00,225.00,157.50,157.50,157.50,157.50,0,58,0,2,2,9261.36,40.37,44.30,49.95,31.67,31.67,31.67,31600.00
27,130.00,225.00,157.50,157.50,157.50,157.50,1,58,0,4,4,9493.40,40.87,43.79,47.60,31.67,31.67,31.67,27100.00
28,130.00,225.00,157.50,157.50,157.50,157.50,0,58,0,2,2,9780.90,39.53,42.99,51.94,31.67,31.67,31.67,35700.00
29,63.00,63.00,44.10,44.10,44.10,44.10,1,59,0,2,2,4410.59,49.27,53.72,60.11,0.00,0.00,0.00,20500.00
30,140.00,225.00,157.50,157.50,157.50,157.50,1,78,0,2,2,11681.33,44.82,48.77,54.14,28.33,28.33,28.33,30700.00
31,140.00,225.00,157.50,157.50,157.50,157.50,1,78,0,4,4,8801.04,31.33,34.56,41.09,28.33,28.33,28.33,20800.00
32,140.00,220.00,154.00,154.00,154.00,154.00,0,79,0,4,4,8636.39,44.94,49.61,55.53,26.67,26.67,26.67,22800.00
33,140.00,225.00,157.50,157.50,157.50,157.50,0,79,0,1,1,6481.68,38.45,42.72,49.80,28.33,28.33,28.33,18400.00
34,140.00,225.00,157.50,157.50,157.50,157.50,1,79,0,2,2,7194.93,53.97,59.54,70.97,28.33,28.33,28.33,16300.00
35,220.00,380.00,266.00,266.00,266.00,266.00,1,82,0,2,2,13506.33,55.07,60.92,66.91,53.33,53.33,53.33,46000.00
36,220.00,370.00,259.00,259.00,259.00,259.00,1,82,0,2,2,16632.32,28.21,30.37,35.58,50.00,50.00,50.00,32100.00
37,120.00,225.00,157.50,157.50,157.50,157.50,1,104,0,4,4,6880.88,44.43,49.99,51.96,35.00,35.00,35.00,21700.00
38,134.00,225.00,157.50,157.50,157.50,157.50,0,105,0,1,1,9540.57,53.96,58.65,69.67,30.33,30.33,30.33,38300.00
39,79.00,120.00,84.00,84.00,84.00,84.00,1,106,0,2,2,4689.83,34.70,37.40,44.05,13.67,13.67,13.67,20100.00
40,79.00,120.00,84.00,84.00,84.00,84.00,1,107,0,1,1,5792.98,47.87,54.85,64.01,13.67,13.67,13.67,13800.00
41,90.00,120.00,84.00,84.00,84.00,84.00,0,116,0,1,1,4176.52,42.49,45.76,51.05,10.00,10.00,10.00,9700.00
42,70.00,120.00,84.00,84.00,84.00,84.00,1,117,0,4,4,4760.32,47.43,53.00,58.79,16.67,16.67,16.67,15600.00
43,80.00,110.00,77.00,77.00,77.00,77.00,1,118,0,1,1,4366.40,52.68,56.77,64.34,10.00,10.00,10.00,18100.00
44,160.00,215.00,150.50,150.50,150.50,150.50,1,125,0,4,4,9646.82,53.02,61.37,77.96,18.33,18.33,18.33,30200.00
45,140.00,225.00,157.50,157.50,157.50,157.50,1,126,0,2,2,7970.16,37.28,40.25,43.55,28.33,28.33,28.33,23500.00
46,160.00,215.00,150.50,150.50,150.50,150.50,0,126,0,2,2,11658.16,39.48,43.94,49.06,18.33,18.33,18.33,55600.00
47,140.00,225.00,157.50,157.50,157.50,157.50,1,127,0,2,2,10329.18,35.32,39.40,46.85,28.33,28.33,28.33,25200.00
48,160.00,220.00,154.00,154.00,154.00,154.00,1,127,0,2,2,9993.78,29.59,33.65,38.03,20.00,20.00,20.00,44800.00
49,0.00,0.00,0.00,0.00,0.00,0.00,0,132,0,2,2,0.00,44.26,50.83,58.00,0.00,0.00,0.00,0.00
50,0.00,0.00,0.00,0.00,0.00,0.00,0,132,0,4,4,0.00,43.13,48.03,58.45,0.00,0.00,0.00,0.00
51,0.00,0.00,0.00,0.00,0.00,0.00,0,133,0,2,2,0.00,28.84,32.09,36.24,0.00,0.00,0.00,0.00
52,0.00,0.00,0.00,0.00,0.00,0.00,0,133,0,4,4,0.00,52.34,59.75,69.70,0.00,0.00,0.00,0.00
53,102.00,120.00,84.00,84.00,84.00,84.00,0,134,0,2,2,7127.90,21.07,22.55,25.11,6.00,6.00,6.00,26300.00
54,100.00,120.00,84.00,84.00,84.00,84.00,1,134,0,4,4,8004.81,23.38,25.77,29.81,6.67,6.67,6.67,36200.00
