Line,Source,Target,Reactance,Flow Limit (MW),Vulnerable?,Zone
1,7,8,0.03050000,400,1,1
2,26,28,0.02519000,500,1,1
3,27,29,0.02519000,500,1,1
4,40,42,0.02097000,500,1,2
5,43,46,0.02097000,500,1,2
6,55,57,0.03000000,400,1,2
7,90,92,0.02444000,330,1,1
8,91,93,0.02469000,330,1,1
9,125,128,0.02875000,400,1,2
10,149,150,0.03050000,400,1,1
11,155,158,0.02300000,500,1,1
12,156,159,0.02300000,500,1,1
13,170,172,0.02375000,500,1,1
14,183,184,0.03093000,400,1,1
15,190,192,0.03000000,500,1,1
16,2735,158,0.00338000,1386,1,1
17,2735,159,0.00338000,1386,1,1
18,2736,68,0.08353100,415,0,2
19,2734,76,0.07065900,412,1,2
20,2734,105,0.07087000,412,1,2
21,2739,200,0.00009400,924,0,1
22,128,2732,0.01469000,1386,1,1
23,127,2733,0.01467500,1386,0,1
24,2737,148,0.01590900,373,1,1
25,2737,149,0.01590900,373,1,1
26,2738,48,0.02287000,831,1,2
27,2738,49,0.02287000,831,1,2
28,82,2732,0.03931300,1621,1,1
29,43,23,0.08114100,339,1,2
30,26,90,0.06240100,457,1,1
31,27,91,0.06405000,457,1,1
32,146,30,0.12365900,373,1,1
33,135,34,0.02618000,335,1,1
34,134,20,0.06196100,415,1,1
35,165,21,0.10589100,373,1,1
36,41,109,0.08161000,347,1,2
37,40,91,0.07231000,362,1,2
38,179,83,0.07764500,373,1,1
39,203,166,0.06828900,362,1,1
40,194,166,0.08909100,400,1,1
41,193,165,0.08702500,427,1,1
42,207,168,0.09716900,274,1,1
43,43,12,0.07497900,377,1,2
44,198,18,0.10413000,373,1,1
45,100,55,0.04380000,457,1,2
46,163,82,0.02056000,1316,1,1
47,45,9,0.01506000,1386,1,2
48,185,151,0.03463000,693,1,1
49,121,57,0.01994000,831,1,2
50,29,93,0.01625000,1386,1,1
51,28,123,0.02769000,1386,1,1
52,25,192,0.02474000,831,1,1
53,120,64,0.01788000,831,1,2
54,122,65,0.05544000,831,1,2
55,82,31,0.03425000,1150,1,1
56,92,28,0.02369000,1316,1,1
57,11,4,0.09711000,461,1,1
58,30,12,0.04070000,373,1,1
59,33,4,0.03222900,392,1,1
60,17,7,0.11219000,427,1,1
61,22,10,0.08741900,373,1,1
62,26,5,0.05051600,377,1,1
63,17,3,0.07895000,274,1,1
64,26,19,0.03952100,480,1,1
65,27,20,0.03952100,480,1,1
66,10,6,0.03988000,373,1,1
67,32,10,0.00651000,373,1,1
68,23,11,0.01326000,415,1,1
69,34,5,0.04300000,335,1,1
70,19,4,0.01599000,362,1,1
71,26,1,0.01169000,747,1,1
72,27,2,0.01169000,747,1,1
73,27,33,0.02853100,392,1,1
74,24,33,0.00002100,392,1,1
75,25,9,0.03417000,831,1,1
76,28,25,0.04262000,1386,1,1
77,14,29,0.03977000,1316,1,1
78,8,15,0.03675000,1358,1,1
79,8,14,0.01329000,1358,1,1
80,31,29,0.00749000,1358,1,1
81,63,59,0.06096900,316,1,2
82,61,56,0.06564100,274,1,2
83,67,35,0.06558100,274,1,2
84,51,35,0.07031000,377,1,2
85,59,43,0.04021100,446,1,2
86,60,44,0.04021100,446,1,2
87,60,35,0.04868000,419,1,2
88,68,52,0.02076000,415,1,2
89,52,39,0.05196100,373,1,2
90,37,56,0.02783100,274,1,2
91,38,36,0.05727100,373,1,2
92,55,38,0.04145000,427,1,2
93,67,37,0.03368000,392,1,2
94,67,66,0.00878100,377,1,2
95,62,43,0.04283100,446,1,2
96,63,44,0.04540900,347,1,2
97,62,40,0.06215100,347,1,2
98,61,41,0.01797900,373,1,2
99,47,40,0.01494000,377,1,2
100,50,46,0.01890000,1358,1,2
101,58,54,0.01277000,1358,1,2
102,42,58,0.02643900,1358,1,2
103,64,58,0.01097000,1552,1,2
104,48,65,0.01406000,831,1,2
105,53,45,0.02144000,1358,1,2
106,96,125,0.03361600,446,1,2
107,75,106,0.05919400,290,1,2
108,106,94,0.01392600,446,1,2
109,79,85,0.02975200,373,1,2
110,131,130,0.00495900,419,1,2
111,107,131,0.04039300,419,1,2
112,91,131,0.00524800,305,1,2
113,100,119,0.08760300,347,1,2
114,81,113,0.01458700,316,1,2
115,116,101,0.11677700,290,1,2
116,126,74,0.04093000,446,1,2
117,108,90,0.02847100,427,1,2
118,118,79,0.04241700,385,1,2
119,119,78,0.04241700,385,1,2
120,79,76,0.03838800,492,1,2
121,78,73,0.01402900,335,1,2
122,114,78,0.02774800,362,1,2
123,103,72,0.07074400,290,1,2
124,110,117,0.04146700,427,1,2
125,91,69,0.01278900,316,1,1
126,86,90,0.00973100,457,1,2
127,129,87,0.00411200,446,1,2
128,132,76,0.00624000,457,0,2
129,133,77,0.00626000,457,0,2
130,102,77,0.01111600,492,1,2
131,125,104,0.02159100,446,1,2
132,126,111,0.03157000,373,1,2
133,104,84,0.00991700,373,1,2
134,105,95,0.02667400,373,1,2
135,112,80,0.04128100,316,1,2
136,89,78,0.03041300,290,1,2
137,117,108,0.03506200,290,1,2
138,109,99,0.02340900,373,1,2
139,116,79,0.01260300,373,1,2
140,107,88,0.00960700,335,1,2
141,98,79,0.02442100,290,1,2
142,117,78,0.01260300,373,1,2
143,83,97,0.04148800,446,1,2
144,124,118,0.02462800,347,1,2
145,124,110,0.01332700,290,1,2
146,100,71,0.00487600,316,0,2
147,101,70,0.00487600,316,0,2
148,93,127,0.02754400,831,1,1
149,82,127,0.02852500,1621,1,1
150,122,115,0.01040000,1358,1,2
151,123,121,0.03563100,831,1,2
152,115,128,0.01051200,1358,1,2
153,174,156,0.07334900,461,1,1
154,175,155,0.07334900,461,1,1
155,177,155,0.07955000,362,1,1
156,178,156,0.07955000,362,1,1
157,177,144,0.04401000,373,1,1
158,166,140,0.08057000,446,1,1
159,137,155,0.04231000,427,1,1
160,171,174,0.09559900,305,1,1
161,152,175,0.05300000,415,1,1
162,154,156,0.09135900,457,1,1
163,136,137,0.03653900,305,1,1
