Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,7.00,35.00,24.50,24.50,24.50,24.50,1,1523,0,2,2,475.67,48.60,53.62,62.88,9.33,9.33,9.33,1100.00
2,7.22,36.10,25.27,25.27,25.27,25.27,1,1443,0,1,1,539.98,37.37,41.34,47.14,9.63,9.63,9.63,2500.00
3,9.20,46.00,32.20,32.20,32.20,32.20,1,906,0,1,1,596.21,51.41,55.34,60.94,12.27,12.27,12.27,1000.00
4,0.00,4.00,2.80,2.80,2.80,2.80,1,1176,0,4,4,0.00,38.98,43.85,49.78,1.33,1.33,1.33,0.00
5,1.40,7.00,4.90,4.90,4.90,4.90,1,1176,0,4,4,125.52,39.23,42.64,47.80,1.87,1.87,1.87,0.00
6,0.00,2.70,1.89,1.89,1.89,1.89,0,179,0,1,1,0.00,41.21,44.42,51.04,0.90,0.90,0.90,0.00
7,2.60,13.00,9.10,9.10,9.10,9.10,1,1451,0,4,4,184.42,50.77,58.17,66.78,3.47,3.47,3.47,0.00
8,10.00,50.00,35.00,35.00,35.00,35.00,1,440,0,1,1,728.17,44.34,47.75,57.76,13.33,13.33,13.33,2300.00
9,3.20,16.00,11.20,11.20,11.20,11.20,0,1344,0,1,1,248.61,40.56,45.33,49.64,4.27,4.27,4.27,0.00
10,12.40,62.00,43.40,43.40,43.40,43.40,1,550,0,1,1,1022.56,36.21,39.02,43.64,16.53,16.53,16.53,3600.00
11,3.60,18.00,12.60,12.60,12.60,12.60,1,1166,0,4,4,288.26,40.48,46.86,55.77,4.80,4.80,4.80,0.00
12,4.40,22.00,15.40,15.40,15.40,15.40,1,2167,0,4,4,250.97,43.42,46.87,53.75,5.87,5.87,5.87,0.00
13,1.00,40.00,28.00,28.00,28.00,28.00,1,1749,0,2,2,72.75,55.68,61.96,70.78,13.00,13.00,13.00,0.00
14,1.00,40.00,28.00,28.00,28.00,28.00,1,1750,0,4,4,72.29,39.52,44.09,52.74,13.00,13.00,13.00,0.00
15,1.00,40.00,28.00,28.00,28.00,28.00,1,1749,0,1,1,83.53,31.78,36.14,45.10,13.00,13.00,13.00,0.00
16,1.00,40.00,28.00,28.00,28.00,28.00,1,1750,0,2,2,78.86,38.21,43.88,51.30,13.00,13.00,13.00,0.00
17,2.40,12.00,8.40,8.40,8.40,8.40,1,1276,0,2,2,119.96,38.33,42.68,49.66,3.20,3.20,3.20,0.00
18,2.80,14.00,9.80,9.80,9.80,9.80,0,1276,0,1,1,185.59,43.33,48.21,52.72,3.73,3.73,3.73,0.00
19,2.40,12.00,8.40,8.40,8.40,8.40,1,1276,0,1,1,208.06,34.55,39.44,46.39,3.20,3.20,3.20,0.00
20,2.07,10.33,7.23,7.23,7.23,7.23,0,757,0,2,2,135.82,33.46,35.81,42.24,2.75,2.75,2.75,0.00
21,2.07,10.33,7.23,7.23,7.23,7.23,0,757,0,1,1,133.73,16.89,18.62,22.47,2.75,2.75,2.75,0.00
22,5.00,50.00,35.00,35.00,35.00,35.00,1,645,0,2,2,373.85,56.12,60.98,70.29,15.00,15.00,15.00,1100.00
23,2.40,12.00,8.40,8.40,8.40,8.40,1,932,0,4,4,245.97,31.93,33.98,40.01,3.20,3.20,3.20,1100.00
24,2.76,13.80,9.66,9.66,9.66,9.66,1,478,0,4,4,165.01,45.58,50.35,58.31,3.68,3.68,3.68,0.00
25,0.00,1.20,0.84,0.84,0.84,0.84,0,478,0,4,4,0.00,45.80,49.86,57.74,0.40,0.40,0.40,0.00
26,4.80,24.00,16.80,16.80,16.80,16.80,1,23,0,4,4,341.96,27.94,30.37,33.84,6.40,6.40,6.40,1200.00
27,5.52,27.60,19.32,19.32,19.32,19.32,1,23,0,4,4,403.10,40.27,44.20,50.15,7.36,7.36,7.36,1400.00
28,3.60,18.00,12.60,12.60,12.60,12.60,1,1093,0,1,1,270.86,45.03,49.89,58.17,4.80,4.80,4.80,1600.00
29,4.20,21.00,14.70,14.70,14.70,14.70,1,1093,0,4,4,294.04,55.43,61.81,78.68,5.60,5.60,5.60,0.00
30,1.20,6.00,4.20,4.20,4.20,4.20,1,326,0,4,4,100.13,48.88,51.94,57.45,1.60,1.60,1.60,0.00
31,7.50,37.50,26.25,26.25,26.25,26.25,1,326,0,1,1,471.48,19.56,21.46,25.59,10.00,10.00,10.00,1500.00
32,1.20,6.00,4.20,4.20,4.20,4.20,1,325,0,1,1,74.03,31.91,35.29,40.95,1.60,1.60,1.60,0.00
33,7.50,37.50,26.25,26.25,26.25,26.25,1,325,0,4,4,347.23,35.64,38.68,45.07,10.00,10.00,10.00,1100.00
34,2.60,13.00,9.10,9.10,9.10,9.10,1,153,0,4,4,133.62,61.85,67.66,77.04,3.47,3.47,3.47,0.00
35,3.60,18.00,12.60,12.60,12.60,12.60,1,59,0,4,4,221.01,29.22,32.31,40.23,4.80,4.80,4.80,0.00
36,3.60,18.00,12.60,12.60,12.60,12.60,1,59,0,2,2,272.17,62.13,68.54,83.95,4.80,4.80,4.80,0.00
37,0.00,4.00,2.80,2.80,2.80,2.80,1,704,0,4,4,0.00,44.47,50.08,57.93,1.33,1.33,1.33,0.00
38,0.00,4.60,3.22,3.22,3.22,3.22,1,1155,0,4,4,0.00,39.01,42.64,47.96,1.53,1.53,1.53,0.00
39,4.20,21.00,14.70,14.70,14.70,14.70,1,1994,0,1,1,249.33,34.26,37.23,41.68,5.60,5.60,5.60,0.00
40,4.20,21.00,14.70,14.70,14.70,14.70,1,1994,0,2,2,307.98,57.28,62.57,72.10,5.60,5.60,5.60,1700.00
41,1.44,7.20,5.04,5.04,5.04,5.04,0,1384,0,2,2,66.82,36.48,39.98,47.99,1.92,1.92,1.92,0.00
42,2.20,11.00,7.70,7.70,7.70,7.70,1,613,0,4,4,149.61,46.14,49.50,59.23,2.93,2.93,2.93,0.00
43,2.20,11.00,7.70,7.70,7.70,7.70,1,613,0,2,2,120.08,38.09,42.57,48.59,2.93,2.93,2.93,0.00
44,1.60,8.00,5.60,5.60,5.60,5.60,1,444,0,2,2,96.47,30.20,34.37,38.50,2.13,2.13,2.13,0.00
45,1.60,8.00,5.60,5.60,5.60,5.60,1,444,0,4,4,91.09,22.68,25.11,28.29,2.13,2.13,2.13,0.00
46,7.00,35.00,24.50,24.50,24.50,24.50,1,1174,0,4,4,510.04,41.84,45.31,49.27,9.33,9.33,9.33,1100.00
47,7.00,35.00,24.50,24.50,24.50,24.50,1,1174,0,4,4,516.46,36.15,38.91,42.65,9.33,9.33,9.33,1600.00
48,2.30,11.50,8.05,8.05,8.05,8.05,0,1052,0,1,1,143.66,27.94,31.01,34.72,3.07,3.07,3.07,0.00
49,1.70,8.50,5.95,5.95,5.95,5.95,1,904,0,4,4,124.63,20.80,22.81,26.36,2.27,2.27,2.27,0.00
50,4.00,20.00,14.00,14.00,14.00,14.00,1,1420,0,1,1,333.99,40.20,44.62,51.14,5.33,5.33,5.33,1400.00
51,4.80,24.00,16.80,16.80,16.80,16.80,1,1495,0,4,4,339.35,26.50,29.24,32.94,6.40,6.40,6.40,1300.00
52,2.20,11.00,7.70,7.70,7.70,7.70,1,287,0,1,1,159.43,44.11,48.23,56.11,2.93,2.93,2.93,0.00
53,1.80,9.00,6.30,6.30,6.30,6.30,1,287,0,1,1,125.79,55.93,60.89,64.40,2.40,2.40,2.40,0.00
