Bus,Demand 1 (MW),Demand 2 (MW),Demand 3 (MW),Demand 4 (MW),Demand 5 (MW),Demand 6 (MW),Demand 7 (MW),Demand 8 (MW),Demand 9 (MW),Demand 10 (MW),Demand 11 (MW),Demand 12 (MW),Demand 13 (MW),Demand 14 (MW),Demand 15 (MW),Demand 16 (MW),Demand 17 (MW),Demand 18 (MW),Demand 19 (MW),Demand 20 (MW),Demand 21 (MW),Demand 22 (MW),Demand 23 (MW),Demand 24 (MW),Zone
1,82.63,77.70,74.00,72.76,72.76,74.00,91.26,106.06,117.16,118.39,118.39,117.16,117.16,117.16,114.69,115.93,122.09,123.33,123.33,118.39,112.23,102.36,90.03,77.70,1
2,51.41,48.34,46.04,45.27,45.27,46.04,56.79,65.99,72.90,73.67,73.67,72.90,72.90,72.90,71.37,72.13,75.97,76.74,76.74,73.67,69.83,63.69,56.02,48.34,1
3,18.36,17.27,16.44,16.17,16.17,16.44,20.28,23.57,26.04,26.31,26.31,26.04,26.04,26.04,25.49,25.76,27.13,27.41,27.41,26.31,24.94,22.75,20.01,17.27,1
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
5,324.09,304.74,290.23,285.39,285.39,290.23,357.95,416.00,459.53,464.37,464.37,459.53,459.53,459.53,449.86,454.69,478.88,483.72,483.72,464.37,440.18,401.48,353.11,304.74,1
6,110.17,103.59,98.66,97.02,97.02,98.66,121.68,141.41,156.21,157.86,157.86,156.21,156.21,156.21,152.93,154.57,162.79,164.44,164.44,157.86,149.64,136.48,120.04,103.59,1
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
8,57.84,54.39,51.80,50.93,50.93,51.80,63.88,74.24,82.01,82.88,82.88,82.01,82.01,82.01,80.29,81.15,85.47,86.33,86.33,82.88,78.56,71.65,63.02,54.39,1
9,88.14,82.88,78.93,77.61,77.61,78.93,97.35,113.13,124.97,126.29,126.29,124.97,124.97,124.97,122.34,123.66,130.23,131.55,131.55,126.29,119.71,109.19,96.03,82.88,1
10,140.47,132.08,125.79,123.70,123.70,125.79,155.15,180.30,199.17,201.27,201.27,199.17,199.17,199.17,194.98,197.08,207.56,209.66,209.66,201.27,190.79,174.01,153.05,132.08,1
11,76.20,71.65,68.24,67.10,67.10,68.24,84.16,97.81,108.05,109.19,109.19,108.05,108.05,108.05,105.77,106.91,112.60,113.73,113.73,109.19,103.50,94.40,83.03,71.65,1
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
13,53.25,50.07,47.69,46.89,46.89,47.69,58.81,68.35,75.50,76.30,76.30,75.50,75.50,75.50,73.91,74.71,78.68,79.48,79.48,76.30,72.32,65.97,58.02,50.07,1
14,146.90,138.13,131.55,129.36,129.36,131.55,162.24,188.55,208.29,210.48,210.48,208.29,208.29,208.29,203.90,206.09,217.06,219.25,219.25,210.48,199.52,181.98,160.05,138.13,1
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
17,515.05,484.31,461.24,453.56,453.56,461.24,568.87,661.11,730.30,737.99,737.99,730.30,730.30,730.30,714.93,722.61,761.05,768.74,768.74,737.99,699.55,638.05,561.18,484.31,1
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
19,555.45,522.29,497.42,489.13,489.13,497.42,613.48,712.97,787.58,795.87,795.87,787.58,787.58,787.58,771.00,779.29,820.74,829.03,829.03,795.87,754.42,688.10,605.19,522.29,1
20,70.69,66.47,63.31,62.25,62.25,63.31,78.08,90.74,100.24,101.29,101.29,100.24,100.24,100.24,98.13,99.18,104.46,105.51,105.51,101.29,96.02,87.58,77.02,66.47,1
21,74.37,69.93,66.60,65.49,65.49,66.60,82.14,95.46,105.44,106.55,106.55,105.44,105.44,105.44,103.22,104.33,109.88,110.99,110.99,106.55,101.00,92.13,81.03,69.93,1
22,19.28,18.13,17.27,16.98,16.98,17.27,21.29,24.75,27.34,27.63,27.63,27.34,27.34,27.34,26.76,27.05,28.49,28.78,28.78,27.63,26.19,23.88,21.01,18.13,1
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
24,41.31,38.85,37.00,36.38,36.38,37.00,45.63,53.03,58.58,59.20,59.20,58.58,58.58,58.58,57.35,57.96,61.05,61.66,61.66,59.20,56.11,51.18,45.01,38.85,1
25,25.71,24.17,23.02,22.64,22.64,23.02,28.39,33.00,36.45,36.83,36.83,36.45,36.45,36.45,35.68,36.07,37.98,38.37,38.37,36.83,34.92,31.85,28.01,24.17,1
26,63.35,59.57,56.73,55.78,55.78,56.73,69.97,81.31,89.82,90.77,90.77,89.82,89.82,89.82,87.93,88.88,93.61,94.55,94.55,90.77,86.04,78.48,69.02,59.57,1
27,50.50,47.48,45.22,44.47,44.47,45.22,55.77,64.82,71.60,72.35,72.35,71.60,71.60,71.60,70.09,70.84,74.61,75.37,75.37,72.35,68.58,62.55,55.02,47.48,1
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
31,78.04,73.38,69.89,68.72,68.72,69.89,86.19,100.17,110.65,111.82,111.82,110.65,110.65,110.65,108.32,109.49,115.31,116.48,116.48,111.82,105.99,96.67,85.03,73.38,1
32,142.31,133.81,127.44,125.31,125.31,127.44,157.17,182.66,201.78,203.90,203.90,201.78,201.78,201.78,197.53,199.65,210.27,212.40,212.40,203.90,193.28,176.29,155.05,133.81,1
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
34,42.23,39.71,37.82,37.19,37.19,37.82,46.65,54.21,59.88,60.51,60.51,59.88,59.88,59.88,58.62,59.25,62.40,63.03,63.03,60.51,57.36,52.32,46.01,39.71,1
35,78.96,74.24,70.71,69.53,69.53,70.71,87.21,101.35,111.95,113.13,113.13,111.95,111.95,111.95,109.60,110.78,116.67,117.85,117.85,113.13,107.24,97.81,86.03,74.24,1
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
37,35.81,33.67,32.07,31.53,31.53,32.07,39.55,45.96,50.77,51.30,51.30,50.77,50.77,50.77,49.70,50.24,52.91,53.44,53.44,51.30,48.63,44.36,39.01,33.67,1
38,179.03,168.34,160.33,157.65,157.65,160.33,197.73,229.80,253.85,256.52,256.52,253.85,253.85,253.85,248.50,251.18,264.54,267.21,267.21,256.52,243.16,221.78,195.06,168.34,1
