Line,Source,Target,Reactance,Flow Limit (MW),Vulnerable?,Zone
1,31,266,0.00046000,99999,0,1
2,266,270,0.00348000,99999,0,1
3,266,271,0.43682000,99999,0,1
4,266,273,0.64898000,99999,0,1
5,270,292,0.37486000,99999,0,1
6,270,293,0.37486000,99999,0,1
7,270,294,0.38046000,99999,0,1
8,270,295,0.15200000,99999,0,1
9,270,296,0.80000000,99999,0,1
10,271,272,0.24666000,99999,1,1
11,271,268,0.49332000,99999,1,1
12,271,268,0.49332000,99999,1,1
13,273,267,0.43286000,99999,0,1
14,273,267,0.43286000,99999,0,1
15,267,274,0.07026000,99999,0,1
16,274,276,0.95278000,99999,0,1
17,274,275,2.81520000,99999,0,1
18,267,277,3.22020000,99999,0,1
19,276,278,3.94400000,99999,0,1
20,276,279,3.61520000,99999,0,1
21,272,297,2.96680000,99999,0,1
22,272,298,2.05700000,99999,0,1
23,272,268,0.24666000,99999,1,1
24,268,280,4.67240000,99999,0,1
25,268,281,4.88460000,99999,0,1
26,268,282,4.80560000,99999,0,1
27,268,291,0.06352000,99999,0,1
28,291,269,0.02894000,99999,0,1
29,269,288,2.45600000,99999,0,1
30,269,289,5.45360000,99999,0,1
31,269,290,1.69940000,99999,0,1
32,268,283,1.39120000,99999,0,1
33,268,284,3.45720000,99999,0,1
34,268,285,1.67290000,99999,0,1
35,268,286,2.57120000,99999,0,1
36,268,287,2.96680000,99999,0,1
37,273,299,0.99036000,99999,0,1
38,294,300,0.75000000,99999,0,1
39,1,5,0.00600000,99999,1,2
40,2,6,0.00900000,99999,1,2
41,2,8,0.02700000,99999,1,2
42,3,7,0.00300000,99999,1,2
43,3,18,0.06900000,99999,1,2
44,3,129,0.00700000,99999,1,2
45,4,16,0.01900000,99999,1,2
46,5,9,0.02900000,99999,1,2
47,7,12,0.00900000,99999,1,2
48,7,110,0.00700000,99999,1,2
49,8,11,0.05950000,99999,1,2
50,8,14,0.04200000,99999,1,2
51,9,11,0.02700000,99999,1,2
52,11,13,0.03400000,99999,1,2
53,12,20,0.01500000,99999,1,2
54,13,19,0.03400000,99999,1,2
55,14,15,0.04200000,99999,1,2
56,15,31,0.24800000,99999,1,1
57,15,74,0.24800000,99999,1,1
58,15,75,0.36300000,99999,1,1
59,16,36,0.02200000,99999,1,2
60,18,20,0.01800000,99999,1,2
61,18,72,0.08000000,99999,1,1
62,19,21,0.03300000,99999,1,2
63,19,26,0.18600000,99999,1,2
64,20,23,0.03400000,99999,1,2
65,21,22,0.11100000,99999,1,2
66,22,24,0.03900000,99999,1,2
67,23,231,0.06800000,99999,0,2
68,24,25,0.07100000,99999,1,2
69,25,26,0.12000000,99999,1,2
70,25,232,0.13000000,99999,0,2
71,27,28,0.06300000,99999,1,1
72,27,32,0.01200000,99999,1,1
73,27,34,0.02900000,99999,1,1
74,27,35,0.04300000,99999,1,1
75,28,36,0.00800000,99999,1,1
76,29,60,0.06000000,99999,1,1
77,29,63,0.01400000,99999,1,1
78,29,64,0.02900000,99999,1,1
79,30,73,0.02700000,99999,1,1
80,31,32,0.04700000,99999,1,1
81,31,34,0.06400000,99999,1,1
82,31,35,0.03600000,99999,1,1
83,31,43,0.08100000,99999,1,1
84,31,74,0.25400000,99999,1,1
85,31,75,0.12700000,99999,1,1
86,32,35,0.03700000,99999,1,1
87,32,37,0.08700000,99999,1,1
88,33,36,0.00640000,99999,0,2
89,34,42,0.15400000,99999,1,1
90,35,36,0.02900000,99999,1,1
91,35,43,0.19100000,99999,1,1
92,35,44,0.08900000,99999,1,1
93,36,40,0.01400000,99999,1,1
94,37,38,0.07200000,99999,1,1
95,37,42,0.26200000,99999,1,1
96,37,46,0.03900000,99999,1,1
97,38,41,0.08400000,99999,1,1
98,38,47,0.08400000,99999,1,1
99,39,52,0.04100000,99999,1,1
100,39,62,0.05400000,99999,1,1
101,40,68,0.04200000,99999,1,1
102,41,61,0.14500000,99999,1,1
103,41,92,0.11800000,99999,1,1
104,42,87,0.06200000,99999,1,1
105,43,44,0.09400000,99999,1,1
106,44,45,0.10900000,99999,1,1
107,45,48,0.08000000,99999,1,1
108,46,47,0.07300000,99999,1,1
109,47,48,0.10300000,99999,1,1
110,48,49,0.16900000,99999,1,1
111,49,50,0.08000000,99999,1,1
112,49,55,0.53700000,99999,1,1
113,50,51,0.02600000,99999,1,1
114,51,53,0.01300000,99999,1,1
115,52,54,0.06500000,99999,1,1
116,54,56,0.10500000,99999,1,1
117,54,123,0.00700000,99999,1,2
118,55,236,0.17200000,99999,0,1
119,57,190,0.23200000,99999,1,1
120,57,66,0.15700000,99999,1,1
121,58,59,0.10000000,99999,0,1
122,58,237,0.12340000,99999,0,1
