Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,110.00,221.00,154.70,154.70,154.70,154.70,1,24,0,4,4,7474.82,36.48,38.53,44.04,37.00,37.00,37.00,35200.00
2,135.00,200.00,140.00,140.00,140.00,140.00,1,25,0,4,4,10096.57,54.55,60.86,71.01,21.67,21.67,21.67,16800.00
3,240.00,370.00,259.00,259.00,259.00,259.00,1,37,0,4,4,15553.35,60.43,66.90,78.57,43.33,43.33,43.33,40600.00
4,240.00,370.00,259.00,259.00,259.00,259.00,1,37,0,1,1,15466.25,22.51,24.01,27.40,43.33,43.33,43.33,34500.00
5,240.00,370.00,259.00,259.00,259.00,259.00,1,38,0,1,1,21517.87,36.13,39.29,49.35,43.33,43.33,43.33,76700.00
6,240.00,370.00,259.00,259.00,259.00,259.00,1,38,0,4,4,20144.17,37.92,41.83,48.23,43.33,43.33,43.33,46900.00
7,240.00,370.00,259.00,259.00,259.00,259.00,1,39,0,4,4,17022.98,27.78,31.74,37.90,43.33,43.33,43.33,25100.00
8,240.00,370.00,259.00,259.00,259.00,259.00,1,40,0,2,2,17476.19,39.33,42.31,47.37,43.33,43.33,43.33,51300.00
9,240.00,370.00,259.00,259.00,259.00,259.00,1,40,0,1,1,18645.65,42.29,45.86,52.57,43.33,43.33,43.33,44600.00
10,240.00,370.00,259.00,259.00,259.00,259.00,1,40,0,4,4,19791.44,34.24,37.04,43.60,43.33,43.33,43.33,43400.00
11,240.00,370.00,259.00,259.00,259.00,259.00,1,41,0,1,1,19217.25,48.17,54.46,63.51,43.33,43.33,43.33,62700.00
12,240.00,370.00,259.00,259.00,259.00,259.00,1,41,0,1,1,13689.07,32.28,35.91,38.27,43.33,43.33,43.33,46800.00
13,240.00,370.00,259.00,259.00,259.00,259.00,1,41,0,1,1,17459.98,26.66,28.40,33.41,43.33,43.33,43.33,51600.00
14,110.00,215.00,150.50,150.50,150.50,150.50,1,57,0,4,4,7951.80,36.91,40.79,50.70,35.00,35.00,35.00,15300.00
15,125.00,220.00,154.00,154.00,154.00,154.00,1,57,0,4,4,10441.15,40.29,44.93,50.44,31.67,31.67,31.67,23100.00
16,125.00,225.00,157.50,157.50,157.50,157.50,1,58,0,4,4,9858.04,51.30,57.13,64.90,33.33,33.33,33.33,18300.00
17,120.00,225.00,157.50,157.50,157.50,157.50,0,58,0,2,2,5998.04,36.26,40.10,46.07,35.00,35.00,35.00,7600.00
18,110.00,225.00,157.50,157.50,157.50,157.50,1,58,0,2,2,7290.97,39.89,43.99,49.96,38.33,38.33,38.33,14100.00
19,110.00,225.00,157.50,157.50,157.50,157.50,1,59,0,4,4,9535.93,42.73,45.67,52.72,38.33,38.33,38.33,31400.00
20,255.00,535.00,374.50,374.50,374.50,374.50,1,60,0,4,4,16731.65,33.98,34.87,41.01,93.33,93.33,93.33,35900.00
21,250.00,560.00,392.00,392.00,392.00,392.00,1,61,0,1,1,16150.65,45.74,51.04,60.16,103.33,103.33,103.33,53000.00
22,129.00,225.00,157.50,157.50,157.50,157.50,1,70,0,4,4,9645.31,38.06,41.98,44.58,32.00,32.00,32.00,29300.00
23,129.00,225.00,157.50,157.50,157.50,157.50,1,71,0,2,2,13221.14,42.02,47.59,57.41,32.00,32.00,32.00,29500.00
24,129.00,225.00,157.50,157.50,157.50,157.50,0,71,0,2,2,7712.62,34.95,36.97,45.42,32.00,32.00,32.00,17000.00
25,129.00,225.00,157.50,157.50,157.50,157.50,0,72,0,1,1,8285.56,69.54,78.39,88.81,32.00,32.00,32.00,22600.00
26,129.00,225.00,157.50,157.50,157.50,157.50,1,72,0,2,2,9190.12,13.70,15.78,18.14,32.00,32.00,32.00,30900.00
27,129.00,225.00,157.50,157.50,157.50,157.50,1,73,0,2,2,9420.37,36.48,39.91,46.00,32.00,32.00,32.00,38700.00
28,129.00,225.00,157.50,157.50,157.50,157.50,1,73,0,1,1,9705.67,35.22,37.91,43.52,32.00,32.00,32.00,25200.00
29,0.00,112.00,78.40,78.40,78.40,78.40,1,74,0,2,2,0.00,41.62,46.49,49.53,37.33,37.33,37.33,0.00
