Line,Source,Target,Reactance,Flow Limit (MW),Vulnerable?,Zone
1,9,11,0.03050000,400,1,1
2,13,12,0.03946000,250,1,1
3,20,18,0.05709000,330,1,1
4,34,33,0.03652000,250,1,1
5,35,37,0.02519000,500,1,1
6,36,38,0.02519000,500,1,1
7,53,54,0.02097000,500,1,2
8,57,59,0.02097000,500,1,2
9,68,70,0.03000000,400,1,2
10,105,107,0.02445000,330,1,1
11,106,108,0.02530000,500,1,1
12,142,145,0.02875000,400,1,2
13,170,171,0.03050000,400,1,1
14,177,180,0.02300000,500,1,1
15,178,181,0.02300000,500,1,1
16,185,184,0.04392000,330,1,1
17,188,190,0.02732000,500,0,1
18,195,197,0.02375000,500,1,1
19,208,209,0.02750000,400,1,1
20,213,211,0.06858000,250,1,1
21,216,218,0.02711000,500,1,1
22,220,218,0.04640000,330,1,1
23,227,225,0.05647000,330,1,1
24,224,226,0.02469000,330,1,1
25,3116,180,0.00317000,1386,1,1
26,3116,181,0.00326000,1386,1,1
27,240,82,0.08595000,339,0,2
28,3114,90,0.06959000,412,1,2
29,3114,120,0.06905000,412,1,2
30,144,3115,0.01603000,1206,0,1
31,3117,169,0.01616000,436,1,1
32,3117,170,0.01616000,436,1,1
33,3118,61,0.02209000,831,1,2
34,3118,62,0.02209000,831,1,2
35,97,3113,0.03054000,1206,0,1
36,56,28,0.07014000,339,1,2
37,35,105,0.06614000,375,1,1
38,36,106,0.05767000,400,1,1
39,167,39,0.12459000,231,1,1
40,153,46,0.06738000,250,1,1
41,152,25,0.04750000,339,1,1
42,188,26,0.10729000,231,1,1
43,53,124,0.08161000,266,1,2
44,52,106,0.07171000,267,1,2
45,203,98,0.05948000,317,1,1
46,234,189,0.06597000,267,1,1
47,221,188,0.08909000,295,1,1
48,222,189,0.08702000,295,1,1
49,238,192,0.09938000,197,1,1
50,57,14,0.07362000,356,1,2
51,229,23,0.10413000,231,1,1
52,115,68,0.04380000,476,1,2
53,187,97,0.02007000,970,1,1
54,58,12,0.01506000,1154,1,2
55,210,171,0.03484000,838,1,1
56,136,70,0.01931000,866,1,2
57,38,108,0.01569000,1154,1,1
58,37,139,0.02677000,1154,1,1
59,32,218,0.02513000,1154,1,1
60,136,78,0.01739000,866,1,2
61,138,78,0.05347000,831,1,2
62,97,41,0.03617000,717,1,1
63,107,41,0.01052000,970,1,1
64,61,137,0.01446000,1386,1,2
65,15,6,0.09781000,375,1,1
66,40,15,0.03847000,231,1,1
67,31,6,0.03351000,317,1,1
68,22,9,0.10915000,317,1,1
69,27,14,0.09326000,231,1,1
70,35,7,0.05052000,295,1,1
71,22,3,0.07936000,231,1,1
72,35,25,0.04027000,400,1,1
73,36,24,0.04027000,400,1,1
74,14,8,0.04147000,231,1,1
75,43,15,0.00630000,231,1,1
76,29,15,0.02374000,339,1,1
77,45,7,0.02690000,250,1,1
78,24,6,0.01671000,295,1,1
79,35,1,0.00890000,461,1,1
80,36,2,0.00890000,461,1,1
81,36,30,0.02901000,380,1,1
82,32,12,0.03445000,831,1,1
83,37,32,0.04122000,1154,1,1
84,19,38,0.03928000,1154,1,1
85,11,21,0.03355000,838,1,1
86,44,21,0.00264000,838,0,1
87,11,19,0.01271000,838,1,1
88,184,38,0.01590000,838,1,1
89,77,72,0.06151000,197,1,2
90,74,69,0.06723000,231,1,2
91,81,47,0.06587000,274,1,2
92,64,47,0.06628000,287,1,2
