Bus,Demand 1 (MW),Demand 2 (MW),Demand 3 (MW),Demand 4 (MW),Demand 5 (MW),Demand 6 (MW),Demand 7 (MW),Demand 8 (MW),Demand 9 (MW),Demand 10 (MW),Demand 11 (MW),Demand 12 (MW),Demand 13 (MW),Demand 14 (MW),Demand 15 (MW),Demand 16 (MW),Demand 17 (MW),Demand 18 (MW),Demand 19 (MW),Demand 20 (MW),Demand 21 (MW),Demand 22 (MW),Demand 23 (MW),Demand 24 (MW),Zone
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
3,15.64,14.71,14.01,13.77,13.77,14.01,17.27,20.07,22.18,22.41,22.41,22.18,22.18,22.18,21.71,21.94,23.11,23.34,23.34,22.41,21.24,19.37,17.04,14.71,1
4,52.41,49.28,46.94,46.16,46.16,46.94,57.89,67.28,74.32,75.10,75.10,74.32,74.32,74.32,72.75,73.54,77.45,78.23,78.23,75.10,71.19,64.93,57.11,49.28,1
5,13.63,12.82,12.21,12.00,12.00,12.21,15.06,17.50,19.33,19.53,19.53,19.33,19.33,19.33,18.92,19.13,20.14,20.35,20.35,19.53,18.51,16.89,14.85,12.82,1
6,13.74,12.92,12.30,12.10,12.10,12.30,15.17,17.63,19.48,19.68,19.68,19.48,19.48,19.48,19.07,19.27,20.30,20.50,20.50,19.68,18.66,17.02,14.97,12.92,1
7,2.43,2.29,2.18,2.14,2.14,2.18,2.68,3.12,3.45,3.48,3.48,3.45,3.45,3.45,3.37,3.41,3.59,3.63,3.63,3.48,3.30,3.01,2.65,2.29,1
8,16.70,15.70,14.95,14.70,14.70,14.95,18.44,21.43,23.67,23.92,23.92,23.67,23.67,23.67,23.18,23.42,24.67,24.92,24.92,23.92,22.68,20.68,18.19,15.70,1
9,15.75,14.81,14.10,13.87,13.87,14.10,17.39,20.21,22.33,22.56,22.56,22.33,22.33,22.33,21.86,22.09,23.27,23.50,23.50,22.56,21.39,19.51,17.16,14.81,1
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
11,35.08,32.99,31.42,30.89,30.89,31.42,38.75,45.03,49.74,50.27,50.27,49.74,49.74,49.74,48.70,49.22,51.84,52.36,52.36,50.27,47.65,43.46,38.22,32.99,1
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
14,66.78,62.80,59.81,58.81,58.81,59.81,73.76,85.72,94.69,95.69,95.69,94.69,94.69,94.69,92.70,93.70,98.68,99.68,99.68,95.69,90.71,82.73,72.77,62.80,1
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
16,14.69,13.81,13.15,12.93,12.93,13.15,16.22,18.85,20.83,21.05,21.05,20.83,20.83,20.83,20.39,20.61,21.70,21.92,21.92,21.05,19.95,18.20,16.00,13.81,1
17,11.52,10.83,10.31,10.14,10.14,10.31,12.72,14.78,16.33,16.50,16.50,16.33,16.33,16.33,15.99,16.16,17.02,17.19,17.19,16.50,15.64,14.27,12.55,10.83,1
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
19,1.06,0.99,0.95,0.93,0.93,0.95,1.17,1.36,1.50,1.51,1.51,1.50,1.50,1.50,1.47,1.48,1.56,1.58,1.58,1.51,1.44,1.31,1.15,0.99,1
20,5.92,5.56,5.30,5.21,5.21,5.30,6.54,7.60,8.39,8.48,8.48,8.39,8.39,8.39,8.21,8.30,8.74,8.83,8.83,8.48,8.04,7.33,6.45,5.56,1
21,8.03,7.55,7.19,7.07,7.07,7.19,8.87,10.31,11.39,11.51,11.51,11.39,11.39,11.39,11.15,11.27,11.87,11.99,11.99,11.51,10.91,9.95,8.75,7.55,1
22,19.55,18.38,17.51,17.22,17.22,17.51,21.59,25.09,27.72,28.01,28.01,27.72,27.72,27.72,27.14,27.43,28.89,29.18,29.18,28.01,26.55,24.22,21.30,18.38,1
23,23.67,22.26,21.20,20.84,20.84,21.20,26.14,30.38,33.56,33.92,33.92,33.56,33.56,33.56,32.86,33.21,34.98,35.33,35.33,33.92,32.15,29.32,25.79,22.26,1
24,17.96,16.89,16.09,15.82,15.82,16.09,19.84,23.06,25.47,25.74,25.74,25.47,25.47,25.47,24.94,25.20,26.54,26.81,26.81,25.74,24.40,22.25,19.57,16.89,1
25,57.80,54.35,51.76,50.90,50.90,51.76,63.84,74.19,81.96,82.82,82.82,81.96,81.96,81.96,80.23,81.10,85.41,86.27,86.27,82.82,78.51,71.61,62.98,54.35,1
26,15.96,15.00,14.29,14.05,14.05,14.29,17.62,20.48,22.62,22.86,22.86,22.62,22.62,22.62,22.15,22.39,23.58,23.82,23.82,22.86,21.67,19.77,17.39,15.00,1
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
28,0.95,0.89,0.85,0.84,0.84,0.85,1.05,1.22,1.35,1.36,1.36,1.35,1.35,1.35,1.32,1.33,1.41,1.42,1.42,1.36,1.29,1.18,1.04,0.89,1
29,80.84,76.01,72.39,71.19,71.19,72.39,89.28,103.76,114.62,115.83,115.83,114.62,114.62,114.62,112.21,113.42,119.45,120.66,120.66,115.83,109.80,100.14,88.08,76.01,1
30,42.16,39.65,37.76,37.13,37.13,37.76,46.57,54.12,59.78,60.41,60.41,59.78,59.78,59.78,58.52,59.15,62.30,62.93,62.93,60.41,57.27,52.23,45.94,39.65,1
