Line,Source,Target,Reactance,Flow Limit (MW),Vulnerable?,Zone
1,4647,1,0.01048200,99999,0,2
2,5244,1,0.02567900,99999,0,2
3,1682,2,0.01061500,99999,0,1
4,1673,3,0.30939800,99999,1,2
5,2303,3,0.13328300,99999,1,2
6,700,4,0.10913600,99999,1,2
7,3939,4,0.12691400,99999,1,2
8,5046,4,0.09740700,99999,1,2
9,4413,5,0.11363100,99999,0,1
10,2779,6,0.02091200,99999,0,1
11,2780,7,0.03209900,99999,0,1
12,2466,8,0.01746200,540,0,2
13,470,9,0.14258000,99999,0,2
14,11,10,0.00123500,99999,0,2
15,11,10,0.00123500,99999,0,2
16,30,11,0.10098800,99999,1,2
17,2929,11,0.09617300,99999,1,2
18,2181,12,0.06072100,99999,1,2
19,4017,12,0.12113900,99999,1,2
20,4019,12,0.00044200,99999,0,2
21,115,13,0.00012500,737,0,1
22,2337,13,0.00187700,2487,1,1
23,4577,13,0.00323400,1841,1,1
24,116,13,0.00012500,737,0,1
25,1225,14,0.13419800,99999,1,2
26,2874,14,0.05234600,99999,1,2
27,4595,14,0.04543200,99999,1,2
28,4955,14,0.15422200,99999,1,2
29,5230,14,0.11098800,99999,1,2
30,2874,14,0.05259300,99999,1,2
31,4595,14,0.04493800,99999,1,2
32,2906,15,0.10052900,99999,1,1
33,4124,15,0.21138800,99999,1,1
34,4455,15,0.26757400,99999,1,1
35,249,16,0.19148400,99999,1,1
36,337,16,0.28495800,99999,1,1
37,5834,17,0.06111100,99999,0,1
38,3727,18,0.01975300,99999,0,2
39,5094,19,0.00050400,99999,0,1
40,3727,20,0.00444400,99999,0,2
41,1354,21,0.09901200,99999,1,1
42,1598,21,0.08913600,99999,1,1
43,1843,22,0.35147400,99999,1,2
44,5023,22,0.21045600,99999,1,2
45,1157,23,0.11715800,99999,1,2
46,2703,23,0.12093700,99999,1,2
47,3425,23,0.06248400,99999,0,2
48,144,24,0.16716000,99999,1,2
49,1282,24,0.12848100,99999,1,2
50,490,25,0.02963000,99999,1,2
51,2093,25,0.04463000,99999,1,2
52,612,26,0.14580200,99999,1,1
53,1866,26,0.00975300,99999,0,1
54,2602,26,0.13370400,99999,1,1
55,2922,26,0.12654300,99999,0,1
56,3339,26,0.12592600,99999,1,1
57,4632,26,0.13675300,99999,1,1
58,2922,26,0.12098800,99999,0,1
59,536,27,0.04106700,446,1,1
60,2350,27,0.00436900,558,1,1
61,2684,28,0.13192200,99999,1,2
62,3892,28,0.14900500,99999,1,2
63,2887,29,0.13756600,99999,1,1
64,3321,29,0.08893900,99999,1,1
65,3321,29,0.08009600,99999,1,1
66,144,30,0.18777800,99999,1,2
67,1553,30,0.13370400,99999,1,2
68,4841,30,0.10604900,99999,1,2
69,150,31,0.03875000,99999,0,2
70,3162,31,0.00031300,99999,0,2
71,3692,31,0.09423000,99999,1,2
72,4741,31,0.02821900,99999,1,2
73,150,31,0.03754100,99999,0,2
74,3729,32,0.03408900,99999,1,2
75,366,34,0.00201500,288,1,2
76,1017,33,0.03399500,289,1,2
77,1158,33,0.01983200,255,1,2
78,2580,34,0.03506000,288,1,2
79,2704,34,0.03286900,255,1,2
80,4746,33,0.00873100,99999,0,2
81,4858,34,0.00312100,99999,1,2
82,5671,33,0.01613800,288,1,2
83,368,35,0.00090700,1034,0,2
84,1109,35,0.00672600,1786,1,2
85,2150,35,0.00801200,2462,1,2
86,3135,35,0.00918000,1644,1,2
87,367,36,0.00074100,1095,0,2
88,2150,35,0.00801900,2462,1,2
89,2150,36,0.01312300,1433,1,2
90,5229,37,0.12068500,99999,1,1
