Line,Source,Target,Reactance,Normal Flow Limit (MW),Emergency Flow Limit (MW),Vulnerable?,Zone
1,1,2,0.05917000,99999,99999,1,1
2,1,5,0.22304000,99999,99999,1,1
3,2,3,0.19797000,99999,99999,1,1
4,2,4,0.17632000,99999,99999,1,1
5,2,5,0.17388000,99999,99999,1,1
6,3,4,0.17103000,99999,99999,1,1
7,4,5,0.04211000,99999,99999,1,1
8,4,7,0.20912000,99999,99999,1,1
9,4,9,0.55618000,99999,99999,1,1
10,5,6,0.25202000,99999,99999,1,1
11,6,11,0.19890000,99999,99999,1,1
12,6,12,0.25581000,99999,99999,1,1
13,6,13,0.13027000,99999,99999,1,1
14,7,8,0.17615000,99999,99999,0,1
15,7,9,0.11001000,99999,99999,1,1
16,9,10,0.08450000,99999,99999,1,1
17,9,14,0.27038000,99999,99999,1,1
18,10,11,0.19207000,99999,99999,1,1
19,12,13,0.19988000,99999,99999,1,1
20,13,14,0.34802000,99999,99999,1,1
