Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,16.00,20,14.00,14.00,14.00,14.00,1,1,0,2,2,1087.25,41.53,43.75,50.26,1.33,1.33,1.33,3800.00
2,16.00,20,14.00,14.00,14.00,14.00,1,1,0,2,2,1196.63,24.34,26.25,27.16,1.33,1.33,1.33,2800.00
3,15.20,76,53.20,53.20,53.20,53.20,1,1,0,4,4,985.05,34.37,38.29,42.78,20.27,20.27,20.27,3100.00
4,15.20,76,53.20,53.20,53.20,53.20,1,1,0,4,4,979.53,39.67,42.38,46.16,20.27,20.27,20.27,2600.00
5,16.00,20,14.00,14.00,14.00,14.00,1,2,0,2,2,1434.52,30.71,33.87,36.69,1.33,1.33,1.33,3900.00
6,16.00,20,14.00,14.00,14.00,14.00,1,2,0,1,1,1342.94,35.17,37.75,45.44,1.33,1.33,1.33,4000.00
7,15.20,76,53.20,53.20,53.20,53.20,1,2,0,2,2,1078.12,39.64,43.93,52.11,20.27,20.27,20.27,4000.00
8,15.20,76,53.20,53.20,53.20,53.20,1,2,0,1,1,1106.83,50.95,53.04,62.83,20.27,20.27,20.27,4000.00
9,25.00,100,70.00,70.00,70.00,70.00,1,7,0,4,4,1942.26,49.81,54.54,65.45,25.00,25.00,25.00,4400.00
10,25.00,100,70.00,70.00,70.00,70.00,1,7,0,2,2,2061.61,34.11,36.21,40.73,25.00,25.00,25.00,7700.00
11,25.00,100,70.00,70.00,70.00,70.00,1,7,0,1,1,2001.80,55.82,60.05,67.19,25.00,25.00,25.00,5400.00
12,69.00,197,137.90,137.90,137.90,137.90,1,13,0,1,1,3935.61,34.71,37.05,40.90,42.67,42.67,42.67,5200.00
13,69.00,197,137.90,137.90,137.90,137.90,1,13,0,2,2,5019.74,44.57,49.35,54.96,42.67,42.67,42.67,17200.00
14,69.00,197,137.90,137.90,137.90,137.90,1,13,0,4,4,4987.95,49.30,54.70,63.51,42.67,42.67,42.67,7200.00
15,0.00,0,0.00,0.00,0.00,0.00,0,14,0,4,4,0.00,24.31,26.28,30.29,0.00,0.00,0.00,0.00
16,2.40,12,8.40,8.40,8.40,8.40,1,15,0,2,2,189.27,29.78,33.00,36.04,3.20,3.20,3.20,0.00
17,2.40,12,8.40,8.40,8.40,8.40,1,15,0,1,1,119.96,35.97,40.78,48.56,3.20,3.20,3.20,0.00
18,2.40,12,8.40,8.40,8.40,8.40,1,15,0,4,4,159.08,42.20,46.49,54.47,3.20,3.20,3.20,0.00
19,2.40,12,8.40,8.40,8.40,8.40,1,15,0,2,2,208.06,38.07,42.11,50.55,3.20,3.20,3.20,0.00
20,2.40,12,8.40,8.40,8.40,8.40,1,15,0,2,2,157.47,46.69,51.35,63.74,3.20,3.20,3.20,0.00
21,54.30,155,108.50,108.50,108.50,108.50,1,15,0,1,1,3507.92,23.51,26.45,29.10,33.57,33.57,33.57,4100.00
22,54.30,155,108.50,108.50,108.50,108.50,1,16,0,2,2,4060.00,17.47,19.80,23.61,33.57,33.57,33.57,20600.00
23,100.00,400,280.00,280.00,280.00,280.00,1,18,0,2,2,10248.94,28.33,30.51,34.89,100.00,100.00,100.00,22800.00
24,100.00,400,280.00,280.00,280.00,280.00,1,21,0,4,4,5978.77,43.54,46.21,55.25,100.00,100.00,100.00,26500.00
25,10.00,50,35.00,35.00,35.00,35.00,1,22,0,1,1,642.29,47.02,51.75,60.00,13.33,13.33,13.33,1900.00
26,10.00,50,35.00,35.00,35.00,35.00,1,22,0,1,1,712.41,37.25,41.68,52.45,13.33,13.33,13.33,3000.00
27,10.00,50,35.00,35.00,35.00,35.00,1,22,0,1,1,730.26,38.61,41.83,47.86,13.33,13.33,13.33,3600.00
28,10.00,50,35.00,35.00,35.00,35.00,1,22,0,2,2,752.38,41.08,46.07,57.60,13.33,13.33,13.33,2800.00
29,10.00,50,35.00,35.00,35.00,35.00,1,22,0,2,2,700.09,33.93,37.31,42.96,13.33,13.33,13.33,3700.00
30,10.00,50,35.00,35.00,35.00,35.00,1,22,0,2,2,834.38,35.83,39.46,46.95,13.33,13.33,13.33,1900.00
31,54.30,155,108.50,108.50,108.50,108.50,1,23,0,4,4,3413.55,39.83,44.48,51.41,33.57,33.57,33.57,12700.00
32,54.30,155,108.50,108.50,108.50,108.50,1,23,0,4,4,3349.68,27.76,31.13,34.63,33.57,33.57,33.57,7100.00
33,140.00,350,245.00,245.00,245.00,245.00,1,23,0,4,4,6481.68,21.99,23.66,27.90,70.00,70.00,70.00,11600.00
