Bus,Demand 1 (MW),Demand 2 (MW),Demand 3 (MW),Demand 4 (MW),Demand 5 (MW),Demand 6 (MW),Demand 7 (MW),Demand 8 (MW),Demand 9 (MW),Demand 10 (MW),Demand 11 (MW),Demand 12 (MW),Demand 13 (MW),Demand 14 (MW),Demand 15 (MW),Demand 16 (MW),Demand 17 (MW),Demand 18 (MW),Demand 19 (MW),Demand 20 (MW),Demand 21 (MW),Demand 22 (MW),Demand 23 (MW),Demand 24 (MW),Zone
1,82.62909052,77.69601049,73.99620046,72.76293046,72.76293046,73.99620046,91.26198057,106.06122067,117.16065073,118.39392074,118.39392074,117.16065073,117.16065073,117.16065073,114.69411072,115.92738073,122.09373077,123.32700077,123.32700077,118.39392074,112.22757070,102.36141064,90.02871056,77.69601049,1
2,51.41365632,48.34418430,46.04208029,45.27471228,45.27471228,46.04208029,56.78523236,65.99364841,72.89996046,73.66732846,73.66732846,72.89996046,72.89996046,72.89996046,71.36522445,72.13259245,75.96943248,76.73680048,76.73680048,73.66732846,69.83048844,63.69154440,56.01786435,48.34418430,1
3,18.36202012,17.26578011,16.44360010,16.16954010,16.16954010,16.44360010,20.28044013,23.56916015,26.03570016,26.30976017,26.30976017,26.03570016,26.03570016,26.03570016,25.48758016,25.76164016,27.13194017,27.40600017,27.40600017,26.30976017,24.93946016,22.74698014,20.00638013,17.26578011,1
4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
5,324.08965503,304.74101891,290.22954182,285.39238279,285.39238279,290.22954182,357.94976825,415.99567661,459.53010788,464.36726691,464.36726691,459.53010788,459.53010788,459.53010788,449.85578982,454.69294885,478.87874400,483.71590303,483.71590303,464.36726691,440.18147176,401.48419952,353.11260922,304.74101891,1
6,110.17212069,103.59468065,98.66160062,97.01724061,97.01724061,98.66160062,121.68264076,141.41496089,156.21420098,157.85856099,157.85856099,156.21420098,156.21420098,156.21420098,152.92548096,154.56984097,162.79164102,164.43600103,164.43600103,157.85856099,149.63676094,136.48188086,120.03828075,103.59468065,1
7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
8,57.84036336,54.38720734,51.79734032,50.93405132,50.93405132,51.79734032,63.88338640,74.24285447,82.01245551,82.87574452,82.87574452,82.01245551,82.01245551,82.01245551,80.28587750,81.14916651,85.46561154,86.32890054,86.32890054,82.87574452,78.55929949,71.65298745,63.02009740,54.38720734,1
9,88.13769655,82.87574452,78.92928050,77.61379249,77.61379249,78.92928050,97.34611261,113.13196871,124.97136078,126.28684879,126.28684879,124.97136078,124.97136078,124.97136078,122.34038477,123.65587278,130.23331282,131.54880083,131.54880083,126.28684879,119.70940875,109.18550468,96.03062460,82.87574452,1
10,140.46945388,132.08321783,125.79354079,123.69698178,123.69698178,125.79354079,155.14536697,180.30407513,199.17310625,201.26966526,201.26966526,199.17310625,199.17310625,199.17310625,194.97998822,197.07654724,207.55934230,209.65590132,209.65590132,201.26966526,190.78687020,174.01439809,153.04880796,132.08321783,1
11,76.20238348,71.65298745,68.24094043,67.10359142,67.10359142,68.24094043,84.16382653,97.81201461,108.04815568,109.18550468,109.18550468,108.04815568,108.04815568,108.04815568,105.77345766,106.91080667,112.59755171,113.73490071,113.73490071,109.18550468,103.49875965,94.39996759,83.02647752,71.65298745,1
12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
13,53.24985833,50.07076231,47.68644030,46.89166629,46.89166629,47.68644030,58.81327637,68.35056443,75.50353047,76.29830448,76.29830448,75.50353047,75.50353047,75.50353047,73.91398246,74.70875647,78.68262649,79.47740050,79.47740050,76.29830448,72.32443445,65.96624241,58.01850236,50.07076231,1
14,146.89616092,138.12624087,131.54880083,129.35632081,129.35632081,131.54880083,162.24352102,188.55328118,208.28560131,210.47808132,210.47808132,208.28560131,208.28560131,208.28560131,203.90064128,206.09312129,217.05552136,219.24800138,219.24800138,210.47808132,199.51568125,181.97584114,160.05104100,138.12624087,1
